Date,A,B,IR(Q),IR(M),C,D,ER(Q),ER(M),E,C(Q),C(M)
1999 1Q ,34744.2,73.25,219.779,73.273,3.1,99.59,298.78,100,61.45,184.3605866,65.26363082
1999 2Q ,36571.5,73.41,220.256,73.364,2.7,99.23,297.69,99.76,59.27,177.8184092,60.48290077
1999 3Q ,37158.3,73.54,220.648,73.142,3,99.57,298.71,99.02,57.56,172.7023326,58.61405498
1999 4Q ,37738.6,73.55,220.652,73.331,2.4,99.46,298.38,98.93,58.04,174.1238149,59.52180734
2000 1Q ,39125.6,74.09,222.275,73.499,2.8,99.21,297.64,99.71,58.98,176.9446442,59.99186774
2000 2Q ,40470.1,74,222.023,73.426,3.4,99.11,297.35,99.05,60.83,182.4979197,58.30473414
2000 3Q ,42658.1,74.64,223.934,73.528,2,99.91,299.75,99.02,56.4,169.2255273,56.41395793
2000 4Q ,43353.5,74.99,224.988,73.574,2.2,101.16,303.49,99.81,56.55,169.6540602,57.84039348
2001 1Q ,42134.3,75.36,226.087,73.546,1.9,101.89,305.68,99.88,57.08,171.2670607,58.44798123
2001 2Q ,40691.3,75.27,225.812,73.491,2.2,100.64,301.93,99,58.71,176.1434733,58.29353152
2001 3Q ,39293.3,75.27,225.837,73.545,2.9,101.76,305.28,99.83,59.61,178.8409522,57.70929752
2001 4Q ,38934.8,74.84,224.545,73.616,3.7,100.05,300.16,99.55,56.44,169.320984,58.12098582
2002 1Q ,41047.8,74.7,224.122,73.942,3.6,99.89,299.69,100.05,58.78,176.3534938,58.38755634
2002 2Q ,41884.6,74.95,224.861,74.294,3.4,99.29,297.89,99.23,60.32,180.9629549,58.79099348
2002 3Q ,41369.6,74.95,224.87,74.039,3.6,99.86,299.59,98.36,61.91,185.7382076,59.76609441
2002 4Q ,41438.9,74.96,224.896,74.146,3.7,99.79,299.37,98.43,64.35,193.051208,62.14742919
2003 1Q ,42513.5,75.21,225.639,73.878,3.7,100,300.02,99.59,65.05,195.1773877,61.23242919
2003 2Q ,40700.2,75.06,225.198,73.999,3.6,98.14,294.43,99.33,66.17,198.5159824,59.1180613
2003 3Q ,42617.6,75.3,225.928,74.378,4.8,97.44,292.33,99.04,65.52,196.5609984,57.37122208
2003 4Q ,44229.1,75.45,226.361,74.769,3.9,97.08,291.25,100.2,70.99,212.9946103,56.16985231
2004 1Q ,47034.2,76.13,228.405,74.787,3.7,97.42,292.27,100.51,73.3,219.9293161,55.6844529
2004 2Q ,47427.2,76.48,229.458,74.844,3.6,98.58,295.75,100.37,77.22,231.6621848,55.29218005
2004 3Q ,49240.6,76.74,230.233,75.009,3,98.17,294.53,101.5,70.87,212.6320708,55.71424209
2004 4Q ,50546.8,76.7,230.124,75.135,3.2,99.54,298.62,101.62,72.01,216.0336548,58.64763806
2005 1Q ,51068.1,76.33,229.008,75.413,3.2,99.78,299.34,101.94,77.52,232.5613717,57.21972765
2005 2Q ,52004.6,76.52,229.583,75.27,3.3,99.61,298.83,101.58,77.02,231.0654618,56.40406092
2005 3Q ,53635.2,77.09,231.286,75.404,3.3,99.59,298.78,102.16,73.44,220.3471417,57.64327211
2005 4Q ,55809.6,77.54,232.647,75.611,2.7,99.39,298.17,100.71,72.73,218.1972364,57.90901454
2006 1Q ,56570.7,77.37,232.116,75.307,2.4,101.59,304.77,100.07,76.49,229.4774108,59.31295863
2006 2Q ,58167.1,77.42,232.276,74.894,2.7,102.9,308.7,101.15,84.43,253.2948676,58.92150012
2006 3Q ,59464.5,77.75,233.251,75.343,2.8,103.4,310.2,101.04,81.78,245.3532089,60.23776338
2006 4Q ,61785.5,77.66,232.995,75.299,2.8,104.14,312.44,101.39,84.61,253.8541909,60.29672463
2007 1Q ,64552.8,77.64,232.934,75.195,2.7,104.77,314.31,102.85,88.5,265.51667,58.30646414
2007 2Q ,67891.6,78.95,236.879,75.005,2.3,103.65,310.95,101.68,91.15,273.4573115,57.17132948
2007 3Q ,69736,80.47,241.432,74.847,1.7,104.22,312.68,99.41,95.23,285.700998,56.16738209
2007 4Q ,70518.3,81.62,244.865,74.693,1.7,106.5,319.5,99.07,103.69,311.0733479,55.9822724
2008 1Q ,69611.8,83.04,249.123,74.584,1.9,107.41,322.25,99,116.61,349.8480887,57.55217776
2008 2Q ,69304.1,84.65,253.963,74.804,2.2,110.11,330.35,100.38,122.21,366.6410564,57.92611816
2008 3Q ,69950.9,85.73,257.209,74.734,2.3,109.2,327.62,100.31,104.65,313.9767107,60.87519789
2008 4Q ,65330.2,85.75,257.253,74.814,2.7,108.64,325.93,99.12,88.03,264.1032869,61.02598618
2009 1Q ,65330.8,84.73,254.193,75.047,3.2,107.45,322.35,99.7,87.95,263.8721189,60.24036125
2009 2Q ,69051.8,84.64,253.942,75,3.2,108.46,325.39,99.07,96.4,289.209005,59.69660744
2009 3Q ,72654.8,85.27,255.836,75.023,3.3,108.3,324.92,99.2,92.5,277.5007423,61.69155197
2009 4Q ,75251.8,85.43,256.298,74.97,2.3,109.24,327.73,99.95,97.6,292.8204923,61.55771146
2010 1Q ,78538.9,86.35,259.064,74.877,2.2,109.17,327.51,100.44,100.81,302.4477632,62.4889442
2010 2Q ,81827.5,87.21,261.645,74.855,2.2,111.06,333.19,99.32,99.85,299.5583617,64.92076548
2010 3Q ,82109.8,88.24,264.735,75.022,2.1,112.23,336.7,100.12,109.28,327.8670556,63.59359076
2010 4Q ,84657,89.39,268.177,75.019,2.2,113.93,341.81,99.93,120.9,362.7177147,64.53685174
2011 1Q ,87047.1,90.52,271.571,75.235,1.9,115.08,345.25,100.57,131,393.0236961,65.04383454
2011 2Q ,86773.2,91.62,274.869,75.097,2,116.58,349.74,99.71,128.81,386.4301336,65.34669516
2011 3Q ,88685.5,93.12,279.378,75.307,2.1,116.44,349.33,99.74,122.27,366.8104817,64.78685801
2011 4Q ,88869.2,94.15,282.467,75.46,2.1,114.26,342.79,98.32,116.79,350.3876702,66.21105886
2012 1Q ,91694.3,95.13,285.416,74.981,2.1,116.4,349.2,97.44,120.98,362.9446945,66.48222761
2012 2Q ,93048.6,95.99,287.987,74.757,1.9,117.36,352.09,98.67,117.94,353.8423756,65.82269591
2012 3Q ,90842.1,97.04,291.142,75.224,1.9,119.1,357.32,97.04,121.68,365.0624631,63.25586009
2012 4Q ,93092.9,97.76,293.282,75.312,1.9,120.18,360.55,97.57,119.4,358.2120748,63.65984968
2013 1Q ,94467,98.26,294.793,75.392,1.9,120.29,360.89,97.72,120.33,360.9969217,69.64528858
2013 2Q ,96139,97.68,293.042,75.34,2,120.69,362.07,97.39,122.02,366.0729394,72.61784889
2013 3Q ,96740.1,98.86,296.603,75.443,1.8,120.9,362.72,96.61,114.47,343.4261698,70.39535708
2013 4Q ,97398.4,99.54,298.63,75.578,1.9,121.93,365.8,97.25,114.81,344.4491801,69.98140429
2014 1Q ,97811.7,99.52,298.575,75.741,2.1,121.54,364.62,97.54,125.48,376.4565789,71.5768339
2014 2Q ,99155.7,99.46,298.397,76.613,1.9,122.26,366.78,97.47,121.76,365.293897,72.10762749
2014 3Q ,100260,99.51,298.55,76.051,1.9,122.89,368.69,97.26,112.82,338.4773807,76.24485467
2014 4Q ,101529.3,99.29,297.883,76.564,1.9,122.78,368.36,98.49,108.38,325.1563308,77.52429446
2015 1Q ,104048,99.16,297.489,76.747,1.8,121.86,365.59,98.7,100.67,302.0187362,78.56163018
2015 2Q ,105560.5,99.08,297.268,76.147,2,124.13,372.4,98.56,100.69,302.0750315,75.57626014
2015 3Q ,106924.4,98.77,296.31,76.758,1.9,122.56,367.69,98,97.14,291.4218325,73.09091965
2015 4Q ,106710.9,98.61,295.853,76.659,1.9,123.34,370.02,97.94,92.91,278.7342091,69.40259607
2016 1Q ,107003.9,98.38,295.156,76.816,1.9,123.98,371.95,98.59,96.7,290.1161356,70.13855507
2016 2Q ,109044,98.11,294.346,76.788,2.1,125.12,375.37,99.32,102.78,308.3483936,69.35829695
2016 3Q ,110409.1,98.56,295.706,76.767,2.1,125.06,375.19,99.71,101.78,305.3438694,71.3820019
2016 4Q ,113474.5,98.85,296.579,76.569,2.2,123.98,371.96,99.59,103.38,310.1505761,75.29335601
2017 1Q ,116713.3,98.94,296.849,76.038,2.3,124.93,374.81,99.48,104.06,312.2000369,74.92654659
2017 2Q ,116341.8,98.92,296.78,76.597,2.2,124.88,374.65,99.78,104.78,314.3516355,77.68650113
2017 3Q ,117845.8,98.94,296.842,76.373,2.1,125.32,375.97,100.08,101.02,303.0834998,79.94832402
2017 4Q ,122623.1,99.19,297.582,76.843,2.1,125.77,377.33,99.51,102.28,306.8664413,77.39498317
2018 1Q ,123034.5,99.21,297.633,76.72,2.1,125.37,376.11,99.96,105.32,315.9706009,78.46185045
2018 2Q ,126706.4,99.43,298.313,76.02,2.1,125.65,376.97,99.36,103.4,310.2284101,75.20862815
2018 3Q ,129091.1,99.65,298.978,76.817,2.1,126.23,378.7,99.08,97.59,292.7760417,74.51096318
2018 4Q ,129168.1,99.56,298.683,77.18,2.2,126.96,380.9,100.38,97.19,291.5819927,72.98073167
2019 1Q ,128115.6,99.89,299.678,77.289,2.2,127.42,382.26,99.32,98.06,294.1894562,72.85544681
2019 2Q ,128684.7,99.98,299.95,77.604,2.3,127.61,382.85,99.16,98.13,294.4188793,72.71490246
2019 3Q ,128746.1,100.09,300.286,77.509,2.2,127.24,381.74,99.18,95.6,286.828983,72.08560645
2019 4Q ,126832.2,100.3,300.903,77.534,2.3,128.26,384.79,99.83,101.97,305.9161604,73.3967275
2020 1Q ,127879.2,99.74,299.224,77.355,2.5,126,378.01,101.1,96.02,288.0872298,75.30956219
2020 2Q ,109118.1,99.38,298.158,77.509,2.9,125.65,376.97,101.62,96.6,289.8257892,76.76237634
2020 3Q ,117683.5,99.88,299.657,77.252,3.4,125.64,376.94,102.05,100.22,300.6633885,77.40547227
2020 4Q ,121374.2,100.33,301.014,77.673,3.2,125.56,376.69,102.28,109.49,328.4975421,80.42784725
2021 1Q ,131353.6,101.1,303.324,77.556,2.9,125.59,376.77,102.64,121.13,363.4095945,86.07514086
2021 2Q ,134343.4,101.8,305.425,77.069,2.7,125.97,377.93,102.99,128.09,384.2741738,83.85179073
2021 3Q ,133487.2,102.61,307.838,77.651,2.6,125.88,377.64,103.07,127.63,382.9122417,83.36793604
2021 4Q ,134126.4,104.29,312.87,77.694,2.4,126.21,378.65,103.28,133.55,400.6650559,82.03813883
2022 1Q ,145208.5,106.2,318.617,77.627,2.2,127.27,381.82,103.7,152.92,458.7722058,81.56959033
2022 2Q ,148444.4,108.36,325.105,77.93,2.1,129.81,389.43,103.22,148.65,445.9643617,81.7454797
