Date,GDP,CPI,U3 rate,S$NEER,F&B,Brent Oil Prices,US GDP
1/1/1999,34744.2,73.25,3.1,99.59,61.45,11.5004613526570,9411.682
1/4/1999,36571.5,73.41,2.7,99.23,59.27,15.7675757575758,9526.210
1/7/1999,37158.3,73.54,3,99.57,57.56,20.9265151515152,9686.626
1/10/1999,37738.6,73.55,2.4,99.46,58.04,24.2383248635423,9900.169
1/1/2000,39125.6,74.09,2.8,99.21,58.98,27.0527191166322,10002.179
1/4/2000,40470.1,74,3.4,99.11,60.83,27.1472997364954,10247.720
1/7/2000,42658.1,74.64,2,99.91,56.4,31.2946307798482,10318.165
1/10/2000,43353.5,74.99,2.2,101.16,56.55,29.8864502164502,10435.744
1/1/2001,42134.3,75.36,1.9,101.89,57.08,26.2403484848485,10470.231
1/4/2001,40691.3,75.27,2.2,100.64,58.71,27.4867218771567,10599.000
1/7/2001,39293.3,75.27,2.9,101.76,59.61,25.5214835309618,10598.020
1/10/2001,38934.8,74.84,3.7,100.05,56.44,19.6064972708451,10660.465
1/1/2002,41047.8,74.7,3.6,99.89,58.78,21.5263319530711,10783.500
1/4/2002,41884.6,74.95,3.4,99.29,60.32,25.2876732542819,10887.460
1/7/2002,41369.6,74.95,3.6,99.86,61.91,26.9495928226363,10984.040
1/10/2002,41438.9,74.96,3.7,99.79,64.35,26.6967858711337,11061.433
1/1/2003,42513.5,75.21,3.7,100,65.05,31.2130969634230,11174.129
1/4/2003,40700.2,75.06,3.6,98.14,66.17,26.1054040404040,11312.766
1/7/2003,42617.6,75.3,4.8,97.44,65.52,28.4220330635548,11566.669
1/10/2003,44229.1,75.45,3.9,97.08,70.99,29.3758768115942,11772.234
1/1/2004,47034.2,76.13,3.7,97.42,73.3,31.7337220026350,11923.447
1/4/2004,47427.2,76.48,3.6,98.58,77.22,35.4615007215007,12112.815
1/7/2004,49240.6,76.74,3,98.17,70.87,41.2556060606061,12305.307
1/10/2004,50546.8,76.7,3.2,99.54,72.01,44.4834930045800,12527.214
1/1/2005,51068.1,76.33,3.2,99.78,77.52,47.7082974465148,12767.286
1/4/2005,52004.6,76.52,3.3,99.61,77.02,52.2429437229437,12922.656
1/7/2005,53635.2,77.09,3.3,99.59,73.44,61.6125042348955,13142.642
1/10/2005,55809.6,77.54,2.7,99.39,72.73,57.1716450216450,13324.204
1/1/2006,56570.7,77.37,2.4,101.59,76.49,62.2880915678524,13599.160
1/4/2006,58167.1,77.42,2.7,102.9,84.43,70.0275757575757,13753.424
1/7/2006,59464.5,77.75,2.8,103.4,81.78,70.0228433402346,13870.188
1/10/2006,61785.5,77.66,2.8,104.14,84.61,60.0804617604618,14039.560
1/1/2007,64552.8,77.64,2.7,104.77,88.5,58.2766054018445,14215.651
1/4/2007,67891.6,78.95,2.3,103.65,91.15,68.6757832988268,14402.082
1/7/2007,69736,80.47,1.7,104.22,95.23,74.7394084321476,14564.117
1/10/2007,70518.3,81.62,1.7,106.5,103.69,88.9194262500784,14715.058
1/1/2008,69611.8,83.04,1.9,107.41,116.61,96.6586749482402,14706.538
1/4/2008,69304.1,84.65,2.2,110.11,122.21,122.2186435786440,14865.701
1/7/2008,69950.9,85.73,2.3,109.2,104.65,115.3803827090780,14898.999
1/10/2008,65330.2,85.75,2.7,108.64,88.03,55.0629057971015,14608.208
1/1/2009,65330.8,84.73,3.2,107.45,87.95,44.2225909090909,14430.901
1/4/2009,69051.8,84.64,3.2,108.46,96.4,58.8668398268398,14381.236
1/7/2009,72654.8,85.27,3.3,108.3,92.5,68.3364781353912,14448.882
1/10/2009,75251.8,85.43,2.3,109.24,97.6,74.8982894158981,14651.248
1/1/2010,78538.9,86.35,2.2,109.17,100.81,76.6748371290545,14764.611
1/4/2010,81827.5,87.21,2.2,111.06,99.85,78.8450360750361,14980.193
1/7/2010,82109.8,88.24,2.1,112.23,109.28,76.6750000000000,15141.605
