Date,GDP,CPI,U3 rate,S$NEER,F&B,Brent Oil Prices,US GDP,Services,3-Month Interbank
1/1/1999,34744.2,73.25,3.1,99.59,61.45,11.50046135,9411.682,"40,388.2544309334",2.63
1/4/1999,36571.5,73.41,2.7,99.23,59.27,15.76757576,9526.21,"47,686.8210462776",2.63
1/7/1999,37158.3,73.54,3,99.57,57.56,20.92651515,9686.626,"51,664.2876616219",2.5
1/10/1999,37738.6,73.55,2.4,99.46,58.04,24.23832486,9900.169,"57,904.3542769661",3
1/1/2000,39125.6,74.09,2.8,99.21,58.98,27.05271912,10002.179,"55,491",3
1/4/2000,40470.1,74,3.4,99.11,60.83,27.14729974,10247.72,"62,267.3875076546",2.88
1/7/2000,42658.1,74.64,2,99.91,56.4,31.29463078,10318.165,"71,043.1541229989",2.94
1/10/2000,43353.5,74.99,2.2,101.16,56.55,29.88645022,10435.744,"73,232.7207383431",2.81
1/1/2001,42134.3,75.36,1.9,101.89,57.08,26.24034848,10470.231,"65,796.3873536873",2.88
1/4/2001,40691.3,75.27,2.2,100.64,58.71,27.48672188,10599,"64,605.8539690316",2.63
1/7/2001,39293.3,75.27,2.9,101.76,59.61,25.52148353,10598.02,"62,561.6205843758",2.38
1/10/2001,38934.8,74.84,3.7,100.05,56.44,19.60649727,10660.465,"64,703.9871997201",2.06
1/1/2002,41047.8,74.7,3.6,99.89,58.78,21.52633195,10783.5,"62,712",1.56
1/4/2002,41884.6,74.95,3.4,99.29,60.32,25.28767325,10887.46,"70,050.4204304085",1.44
1/7/2002,41369.6,74.95,3.6,99.86,61.91,26.94959282,10984.04,"72,356.2870457528",1.13
1/10/2002,41438.9,74.96,3.7,99.79,64.35,26.69678587,11061.433,"74,460.453661097",1.31
1/1/2003,42513.5,75.21,3.7,100,65.05,31.21309696,11174.129,"77,067.2202764412",1
1/4/2003,40700.2,75.06,3.6,98.14,66.17,26.10540404,11312.766,"78,801",0.81
1/7/2003,42617.6,75.3,4.8,97.44,65.52,28.42203306,11566.669,"84,721.5535071297",0.69
1/10/2003,44229.1,75.45,3.9,97.08,70.99,29.37587681,11772.234,"90,353.420122474",0.94
1/1/2004,47034.2,76.13,3.7,97.42,73.3,31.733722,11923.447,"90,706.8867378182",1.13
1/4/2004,47427.2,76.48,3.6,98.58,77.22,35.46150072,12112.815,"98,795.0533531624",0.94
1/7/2004,49240.6,76.74,3,98.17,70.87,41.25560606,12305.307,"106,334.119968507",1.13
1/10/2004,50546.8,76.7,3.2,99.54,72.01,44.483493,12527.214,"107,419.586583851",1.56
1/1/2005,51068.1,76.33,3.2,99.78,77.52,47.70829745,12767.286,"106,417.",1.56
1/4/2005,52004.6,76.52,3.3,99.61,77.02,52.24294372,12922.656,"114,781.6",2.25
1/7/2005,53635.2,77.09,3.3,99.59,73.44,61.61250423,13142.642,"124,807.3",2.13
1/10/2005,55809.6,77.54,2.7,99.39,72.73,57.17164502,13324.204,"132,960.5",2.44
1/1/2006,56570.7,77.37,2.4,101.59,76.49,62.28809157,13599.16,"128,232.",3.31
1/4/2006,58167.1,77.42,2.7,102.9,84.43,70.02757576,13753.424,"133,233.4",3.5
